Price,Close,High,Low,Open,Volume
Ticker,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L
Date,,,,,
2021-06-14,438.8616027832031,440.7590526490063,437.36361123492964,437.7131182148206,20425384
2021-06-15,435.5660095214844,436.315005306679,431.22182787201245,432.86964298081375,22796045
2021-06-16,437.4634704589844,441.7077800155672,435.0167691182788,439.36095087741876,21410009
2021-06-17,438.8116455078125,449.497330598257,438.8116455078125,441.85757990078235,26168290
2021-06-18,428.8251037597656,441.0087823226763,428.17598008937654,439.610662768749,40994082
2021-06-21,425.9788513183594,426.82771929151926,421.5348280087607,424.2811458487558,16108235
2021-06-22,423.1826477050781,426.62804074433785,421.43499075290373,423.78185046973874,15405899
2021-06-23,420.33642578125,427.37700440163474,420.33642578125,424.58073520266964,15134224
2021-06-24,424.031494140625,425.529485737582,421.58476234157513,422.18396507570134,14424278
2021-06-25,426.9775695800781,429.12471546959864,425.4795778302099,426.42831812914784,16595517
2021-06-28,419.8371276855469,426.9775485800542,419.38774846872036,425.829094390317,14324818
2021-06-29,420.7359313964844,423.9815801424096,418.5718404808569,419.43768408880214,14806045
2021-06-30,416.74127197265625,419.98692060321184,413.4956233421006,417.6400913594158,20976997
2021-07-01,422.7831726074219,424.3310850844891,419.18798663858485,419.18798663858485,17878406
2021-07-02,416.0921630859375,421.1853410589354,415.1434532771122,418.8384812552607,18873319
2021-07-05,422.53350830078125,424.5807513204964,417.34045850322053,418.43899178463346,9157516
2021-07-06,415.9423522949219,422.93298006458446,413.2439741206658,422.2339050969308,16569695
2021-07-07,417.3904113769531,418.5887863892203,413.1960226422242,414.3444767910826,15259344
2021-07-08,410.0502624511719,413.1960388875399,406.1554901739201,412.74662919232213,17494290
2021-07-09,413.5455017089844,413.5455017089844,406.25525855461643,408.4024039588543,20736593
2021-07-12,412.2972106933594,413.29587171939306,404.90712519605313,409.50094153443547,12387291
2021-07-13,411.6481018066406,423.43229014353335,410.2499519389441,422.2338846788554,23439650
2021-07-14,410.4996643066406,415.5429215327325,409.550954475236,410.749329600703,12465401
2021-07-15,408.20269775390625,413.84512650213384,406.155454824359,413.4955890447995,17123923
2021-07-16,402.7100830078125,411.09883003650026,401.2120913785212,410.200041154269,21137554
2021-07-19,391.2754211425781,401.31198385178305,389.7275085714829,399.464454653666,20668481
